date,Q_lstm,w_t,P,PET,P7d,P30d,P90d,ASM,BF_proxy,delta_Q,sin_month,cos_month
2008-01-13,12.127408,3.8244598,2.2613142,-1.3664558,-33.840603,-5.467816,-14.490179,-49.274452,15.352139,2.9884968,-2.9248817,-6.630662
2008-01-14,11.858929,3.8087547,2.3149374,-0.01288967,-34.25828,-5.4801693,-14.51435,-49.788662,15.176135,3.002005,-2.9248817,-6.6227527
2008-01-15,11.680259,3.806372,2.314881,-0.44433302,-34.25875,-5.9519773,-14.514478,-48.541084,15.176135,2.839381,-2.9248817,-6.6227527
2008-01-16,11.583113,4.0486913,2.2613142,-0.5806686,-34.252968,-5.6945143,-14.488033,-48.760094,15.358186,2.5165682,-2.8093402,-6.623484
2008-01-17,11.568975,4.370421,2.3101482,1.5304524,-34.367558,-5.9601684,-15.952751,-48.22826,14.752665,2.55399,-2.8093402,-6.6227527
2008-01-18,11.947361,3.5291512,2.291773,-0.012810634,-34.378242,-5.6336107,-14.548824,-50.100983,15.175319,2.2652967,-2.9248817,-6.6227527
2008-02-15,11.74136,4.3237724,2.314881,0.95360583,-34.366493,-5.930715,-15.9549465,-49.040314,15.175319,2.2768598,-2.9248817,-6.6227527
2008-03-11,11.731417,3.8768141,2.2544682,-2.469234,-33.720215,-4.682453,-14.217759,-49.344067,15.55668,3.1227167,-3.171296,-5.648665
2008-03-12,11.694816,4.3358846,2.8362908,0.9525903,-34.36298,-5.333088,-15.90297,-50.203243,15.383305,3.0429738,-2.9248817,-5.6432447
2008-04-03,9.784812,3.5648077,2.4184604,-0.9629071,-34.469707,-6.227405,-16.226923,-53.74751,13.808511,2.681864,-3.4466233,6.111041
2008-04-04,9.515997,3.5534656,2.4619257,-0.5277069,-34.706394,-6.5253086,-16.259079,-53.214542,13.614762,2.7137096,-3.4466233,6.108224
2008-04-05,9.899507,3.5401037,3.2608526,-0.49241608,-34.78762,-6.6011186,-16.22098,-54.122513,13.473289,2.6681364,-3.4466233,6.117811
2008-04-06,10.242627,3.59619,1.7663128,-2.1048412,-33.754272,-6.1234765,-15.907975,-52.824154,13.207682,2.7779584,-3.6930375,6.1054153
2008-04-07,10.234247,3.599279,2.3139086,-2.1048412,-34.27846,-6.1206007,-15.926701,-52.832535,13.2137985,2.7779584,-3.6930375,6.1054153
2008-04-08,10.609284,3.59867,2.29799,-2.1048412,-34.762493,-6.1206007,-15.910491,-52.85151,13.331701,2.7883377,-3.6930375,6.1054153
2008-04-09,10.607244,3.597858,2.29799,-2.1048412,-34.825535,-6.145093,-15.910491,-52.861244,13.361141,2.7883377,-3.6223576,6.1054153
2008-04-10,10.550117,3.5275924,2.2565937,-2.2807064,-34.953434,-6.590895,-16.106205,-50.76734,13.2872715,1.6710441,-3.5589602,6.1054153
2008-05-19,7.3111663,3.672542,2.8784845,-1.8341713,-20.358847,-6.945515,-16.029686,-52.208908,10.042067,-0.13268171,-5.6506414,5.951339
2008-05-20,8.673632,3.7761602,2.796803,-2.3556147,-24.74749,-5.0109143,-15.962287,-52.62864,11.228716,1.2795663,-5.4598446,5.371158
2008-05-21,9.604524,3.623333,3.0136657,-2.0024784,-30.426702,-5.576446,-16.135294,-53.574467,11.121948,1.6900232,-4.074084,5.4731016
2008-05-23,9.232013,3.5765824,-2.9344416,-2.0822942,-31.636244,-4.8129325,-16.47308,-51.508778,12.587926,-6.9118595,-3.7271638,7.415134
2008-05-26,9.637631,3.4996521,0.88751966,-1.8815091,-31.840248,-5.606487,-16.295294,-51.795837,12.146685,2.1752143,-3.607901,5.7724786
2008-05-27,9.189915,3.349906,-6.79935,-2.6866646,-24.517046,-5.3442407,-15.419907,-48.368828,12.732823,0.69024646,-4.483745,5.287704
2008-05-29,-11.756109,3.8700302,0.06254249,-2.924639,53.26558,-2.8361046,-47.127766,-65.631004,10.256673,-0.5016777,-6.409711,6.038404
